timestamp,episode,step,reward,td_mean,td_var,loss,noise_std,latent_gap,alpha_t,gamma_t,c_t,model,seed
2026-06-27T09:28:10.839478+00:00,1,1,8.0,0.0,0.0,0.0,0.01,0.0,0.0,1.0,1.0,V2,42
2026-06-27T09:28:10.856208+00:00,2,2,34.0,0.0,0.0,0.0,0.01,0.0,0.0,1.0,1.0,V2,42
2026-06-27T09:28:10.867925+00:00,3,3,25.0,0.0,0.0,0.0,0.01,0.0,0.0,1.0,1.0,V2,42
2026-06-27T09:28:10.885431+00:00,4,4,40.0,0.0,0.0,0.0,0.01,0.0,0.0,1.0,1.0,V2,42
2026-06-27T09:28:10.896731+00:00,5,5,25.0,0.0,0.0,0.0,0.01,0.0,0.0,1.0,1.0,V2,42
2026-06-27T09:28:13.452846+00:00,6,6,28.0,-0.30415788292884827,0.2619251310825348,0.14518705010414124,0.01,1.2032525539398193,0.10493426769971848,0.8629969954490662,0.4649156332015991,V2,42
2026-06-27T09:28:16.112222+00:00,7,7,15.0,-0.08354944735765457,0.3460131883621216,0.15303847193717957,0.01,1.2033014297485352,0.1049347072839737,0.8587669134140015,0.4649996757507324,V2,42
2026-06-27T09:28:19.169492+00:00,8,8,11.0,0.12933024764060974,0.4127914309501648,0.1773972362279892,0.01,1.2028859853744507,0.10496465116739273,0.8715594410896301,0.4649617075920105,V2,42
2026-06-27T09:28:21.739514+00:00,9,9,21.0,0.1554039865732193,0.43345823884010315,0.18598368763923645,0.01,1.1938151121139526,0.10514380782842636,0.8599066734313965,0.4687648415565491,V2,42
2026-06-27T09:28:24.224691+00:00,10,10,10.0,0.13398414850234985,0.43953076004981995,0.18572291731834412,0.01,1.198232889175415,0.104993537068367,0.8669067621231079,0.46673303842544556,V2,42
2026-06-27T09:28:26.696106+00:00,11,11,20.0,0.2766092121601105,0.48055940866470337,0.21203698217868805,0.01,1.197384238243103,0.10496770590543747,0.8685052394866943,0.4671512544155121,V2,42
2026-06-27T09:28:29.544643+00:00,12,12,11.0,0.28205353021621704,0.5210708975791931,0.22507593035697937,0.01,1.197508454322815,0.1049419641494751,0.859571099281311,0.46714359521865845,V2,42
2026-06-27T09:28:31.956564+00:00,13,13,19.0,0.20966631174087524,0.4724229574203491,0.20168504118919373,0.01,1.1942379474639893,0.10496088117361069,0.869513988494873,0.4684831500053406,V2,42
2026-06-27T09:28:34.330498+00:00,14,14,12.0,0.07871080189943314,0.4428578019142151,0.1836322546005249,0.01,1.1940804719924927,0.10497309267520905,0.8593522310256958,0.46849408745765686,V2,42
2026-06-27T09:28:37.008175+00:00,15,15,19.0,0.24370314180850983,0.4632816016674042,0.20319311320781708,0.01,1.1943087577819824,0.1049695536494255,0.8651655912399292,0.46838197112083435,V2,42
2026-06-27T09:28:39.442826+00:00,16,16,27.0,0.26870328187942505,0.4583757519721985,0.20507073402404785,0.01,1.1947455406188965,0.10499972850084305,0.8616820573806763,0.4679632782936096,V2,42
2026-06-27T09:28:42.014467+00:00,17,17,24.0,0.23729318380355835,0.48330825567245483,0.20969611406326294,0.01,1.1936421394348145,0.10495594143867493,0.8587222695350647,0.46861687302589417,V2,42
2026-06-27T09:28:44.570412+00:00,18,18,17.0,0.16441693902015686,0.4751267731189728,0.200181782245636,0.01,1.190644383430481,0.1049363985657692,0.8667641878128052,0.4699668288230896,V2,42
2026-06-27T09:28:47.214240+00:00,19,19,15.0,0.24284367263317108,0.4430175721645355,0.19727769494056702,0.01,1.1916840076446533,0.10497941821813583,0.8622531890869141,0.4694244861602783,V2,42
2026-06-27T09:28:49.734861+00:00,20,20,24.0,0.19406381249427795,0.4525931179523468,0.19526611268520355,0.01,1.1900205612182617,0.10498663783073425,0.8643957376480103,0.4701114892959595,V2,42
2026-06-27T09:28:51.949653+00:00,21,21,10.0,0.13181333243846893,0.48711830377578735,0.20206499099731445,0.01,1.1866014003753662,0.1049920916557312,0.8655986785888672,0.4714563488960266,V2,42
2026-06-27T09:28:54.315194+00:00,22,22,19.0,0.18373289704322815,0.4745165705680847,0.20190925896167755,0.01,1.187283992767334,0.104987233877182,0.8653484582901001,0.4711417853832245,V2,42
2026-06-27T09:28:56.745528+00:00,23,23,14.0,0.15198402106761932,0.4559073746204376,0.19330976903438568,0.01,1.188748836517334,0.10496838390827179,0.8686773180961609,0.4706084132194519,V2,42
2026-06-27T09:28:59.159569+00:00,24,24,13.0,0.12261293828487396,0.43888208270072937,0.18598124384880066,0.01,1.1864979267120361,0.1049932911992073,0.8599585294723511,0.47142305970191956,V2,42
2026-06-27T09:29:01.645086+00:00,25,25,22.0,0.181547611951828,0.43502455949783325,0.18869930505752563,0.01,1.1871962547302246,0.1049695834517479,0.8690455555915833,0.47120633721351624,V2,42
2026-06-27T09:29:04.238282+00:00,26,26,17.0,0.13773131370544434,0.4239041209220886,0.18190473318099976,0.01,1.1864423751831055,0.10497896373271942,0.8619092702865601,0.4714619219303131,V2,42
2026-06-27T09:29:06.570366+00:00,27,27,18.0,0.05811925604939461,0.41642680764198303,0.1757788211107254,0.01,1.1824183464050293,0.10499890148639679,0.85960453748703,0.47303307056427,V2,42
2026-06-27T09:29:09.263809+00:00,28,28,10.0,0.11896322667598724,0.4207133650779724,0.17992977797985077,0.01,1.1829808950424194,0.10500575602054596,0.8631664514541626,0.47297248244285583,V2,42
2026-06-27T09:29:11.667139+00:00,29,29,36.0,0.12623704969882965,0.36540380120277405,0.1617351472377777,0.01,1.1825759410858154,0.10497035831212997,0.8614711761474609,0.47312283515930176,V2,42
2026-06-27T09:29:14.239314+00:00,30,30,14.0,0.11063817888498306,0.37791094183921814,0.16522257030010223,0.01,1.1798092126846313,0.10499534010887146,0.8718739748001099,0.4741556644439697,V2,42
2026-06-27T09:29:16.787864+00:00,31,31,35.0,-0.020612526684999466,0.3562677800655365,0.15516507625579834,0.01,1.1808030605316162,0.10499473661184311,0.8625524044036865,0.4737478494644165,V2,42
2026-06-27T09:29:19.103013+00:00,32,32,60.0,0.012487013824284077,0.3836306035518646,0.1644236445426941,0.01,1.1781353950500488,0.10501839965581894,0.8643765449523926,0.47487884759902954,V2,42
2026-06-27T09:29:21.365691+00:00,33,33,14.0,0.0040736012160778046,0.35786134004592896,0.15563441812992096,0.01,1.1779122352600098,0.1049763411283493,0.8667200207710266,0.47496533393859863,V2,42
2026-06-27T09:29:23.866681+00:00,34,34,14.0,-0.006469708867371082,0.33204928040504456,0.1470569372177124,0.01,1.1768633127212524,0.10498181730508804,0.8580026030540466,0.475445032119751,V2,42
2026-06-27T09:29:26.659689+00:00,35,35,15.0,-0.005657089874148369,0.30658987164497375,0.13844944536685944,0.01,1.1780587434768677,0.10498032718896866,0.8585415482521057,0.47489845752716064,V2,42
2026-06-27T09:29:28.982056+00:00,36,36,21.0,0.062292955815792084,0.28900444507598877,0.1333438903093338,0.01,1.175094723701477,0.10497432202100754,0.86031574010849,0.4761386811733246,V2,42
